inline_count,external_count,onclick_count,onload_count,onchange_count,avg_inline_script_block,avg_external_script_block,avg_onclick_count,avg_onload_count,avg_onchange_count,avg_cyc_complexity,library_code_count,type
8,7,1,0,0,0,2134.75,25852,3,4,1,4,alexa
15,5,1,4,6,0,504.75,5306,1,4,1,4,alexa
5,12,2,5,0,0,246.7777778,10889,3,9,0.444444444,4,alexa
17,30,2,0,0,0,105.5,5847,12,18,0.888888889,16,alexa
13,29,2,1,0,0,881.8,46889,6,15,0.666666667,10,phish
20,15,1,4,0,0,384.5454545,14995,4,11,0.636363636,7,alexa
1,0,1,0,0,0,0,0,0,0,0,0,phish
2,2,1,0,0,0,852,4414,0,2,1,2,phish
0,0,1,0,0,0,0,0,0,0,0,0,phish
3,7.333333333,3,3,0,0,797.75,18308,0,8,0.75,6,alexa
12,19.5,2,0,0,0,750.8421053,39179,0,19,1,19,alexa
13,11,1,0,3,0,342.4285714,6051,2,7,0.571428571,4,alexa
26,64,2,0,1,0,523.6896552,52326,34,29,0.620689655,18,alexa
4,6.25,4,0,0,0,278.5,2050,5,2,0.5,1,alexa
8,40,2,0,0,0,286.9333333,22681,23,15,0.8,12,alexa
15,25,2,2,1,0,445,25588,6,18,0.5,9,alexa
0,0,1,0,0,0,0,0,0,0,0,0,phish
1,4,1,0,0,0,353,3201,2,2,1,2,alexa
27,40.66666667,3,12.66666667,3,0,456.1923077,38423,11,26,0.923076923,24,alexa
7,8,2,2,0,0,310.6666667,2434,5,3,0.666666667,2,alexa
10,14,1,0,0,1,1444,51899,1,12,1,12,alexa
2,4.5,2,0,0,0,359.75,2932,1,4,1,4,phish
10,10,1,2,0,0,0,0,0,0,0,0,phish
7,11,1,0,2,0,827.375,17889,2,8,1,8,alexa
3,5,1,0,1,0,30,520,1,4,0.75,3,phish
4,10,1,0,0,0,0,0,2,0,0,0,phish
1,2,1,0,0,0,119,115,1,1,1,1,alexa
11,10,1,6,4,0,497.3,29809,0,10,0.7,7,alexa
6,6,2,9,0,0,651,6414,2,3,0.666666667,2,alexa
5,8,1,4,0,0,127.6,2696,3,5,0.4,2,alexa
8,25,2,0,0,0,64.53846154,1828,11,13,0.769230769,10,alexa
4,2,2,0,0,0,0,0,2,0,0,0,alexa
13,2,2,17,0,0,896,2329,1,1,1,1,alexa
11,12,1,3,0,0,781,18811,0,8,0.875,7,alexa
13,20.5,2,0,1,0,635.3571429,23241,10,14,0.714285714,10,alexa
10,9,2,2,0,0,142.5,4631,1,8,0.625,5,alexa
6,10,1,0,0,0,169.6,3163,5,5,0.8,4,alexa
17,32,1,0,0,0,89.63157895,7040,10,19,0.789473684,15,alexa
3,15,1,0,1,0,147.875,4099,3,8,0.625,5,alexa
6,15,2,0,0,0,234.5555556,10767,7,9,0.555555556,5,alexa
6,11,2,0,0,0,158.8333333,7004,5,6,0.666666667,4,alexa
11,37,2,0,0,0,117.8421053,14055,18,19,0.736842105,14,alexa
5,9,1,0,0,0,221.4285714,5094,2,7,0.571428571,4,alexa
1,1,1,0,0,0,0,0,1,0,0,0,alexa
10,17,4,0,3,2,716,21023,5,10,0.8,8,alexa
6.5,5.5,2,3,0,0,1101.4,17858,2,5,1,5,alexa
3.5,4,2,0,0,0,279,3200,3,4,0.5,2,phish
1,4,1,0,0,0,60,206,3,1,1,1,phish
13,7,2,1.5,0,0,0.333333333,24,3,3,0.333333333,1,alexa
1,4,2,0,0,0,60,206,3,1,1,1,phish
2,4,1,0,0,0,375.5,2555,2,2,1,2,alexa
30,13,1,4,0,0,305.5,7066,5,8,0.875,7,alexa
1,0,1,0,0,0,0,0,0,0,0,0,phish
0,0,1,0,0,0,0,0,0,0,0,0,phish
5,16,2,2,0,0,138.625,7046,7,8,0.625,5,alexa
2,4,2,0,0,0,192,1976,1,3,0.333333333,1,alexa
2,3,2,1.5,0.5,0,693.3333333,4471,3,3,1,3,phish
1,1,1,0,0,0,0,0,1,0,0,0,phish
6,12,2,1,0,0,495.625,11511,4,8,0.75,6,alexa
3,5.5,2,0,0,0,1219,11037,3,3,1,3,alexa
5,14,1,0,0,0,185.5,3424,7,6,0.5,3,alexa
